session,depth,turn,step,inputTokens,cacheReadTokens,outputTokens,reasoningTokens,totalTokens,logicalContext,freshInput,reasoningChars,outputChars,nToolCalls
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,35,2885,419712,442,354,423039,422597,2885,1492,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,36,152,422912,1891,494,424955,423064,152,2127,100,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,37,169,424832,150,32,425151,425001,169,135,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,38,678,425088,321,124,426087,425766,678,443,54,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,39,713,425984,269,87,426966,426697,713,326,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,40,3770,426880,2549,1036,433199,430650,3770,4109,99,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,41,221,433024,841,137,434086,433245,221,546,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,42,212,433920,263,109,434395,434132,212,454,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,43,1442,434304,3573,1083,439319,435746,1442,4813,192,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,44,197,439168,503,374,439868,439365,197,1287,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,45,390,439808,268,144,440466,440198,390,609,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,46,799,440448,1851,578,443098,441247,799,2637,83,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,47,136,443008,160,77,443304,443144,136,260,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,48,241,443136,151,84,443528,443377,241,310,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,49,7237,443520,2985,1234,453742,450757,7237,5514,103,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,50,156,453632,160,54,453948,453788,156,185,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,51,161,453888,6173,649,460222,454049,161,2761,52,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,52,2013,460160,1608,906,463781,462173,2013,3407,81,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,53,211,463616,767,199,464594,463827,211,872,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,54,256,464384,803,133,465443,464640,256,593,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,55,209,465280,217,71,465706,465489,209,315,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,56,1640,465664,1616,845,468920,467304,1640,3667,81,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,57,670,468864,631,140,470165,469534,670,567,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,58,195,470016,236,129,470447,470211,195,429,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,59,1658,470400,586,478,472644,472058,1658,2000,48,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,60,840,472576,565,392,473981,473416,840,1737,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,61,171,473856,843,0,474870,474027,171,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,62,164,474752,204,103,475120,474916,164,368,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,63,258,475008,169,0,475435,475266,258,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,64,217,475264,238,50,475719,475481,217,226,36,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,65,1525,475648,1461,751,478634,477173,1525,2340,67,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,66,409,478592,307,112,479308,479001,409,499,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,67,202,479232,451,227,479885,479434,202,903,44,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,68,319,479872,422,212,480613,480191,319,846,76,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,69,503,480512,597,414,481612,481015,503,1520,65,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,70,245,481536,574,288,482355,481781,245,1072,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,71,157,482304,380,206,482841,482461,157,898,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,72,281,482816,442,210,483539,483097,281,908,87,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,73,250,483328,214,45,483792,483578,250,184,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,74,191,483712,702,123,484605,483903,191,461,59,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,75,241,484480,303,57,485024,484721,241,272,78,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,76,234,484864,202,93,485300,485098,234,404,0,2
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,77,780,485248,463,292,486491,486028,780,1355,40,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,78,252,486272,622,105,487146,486524,252,483,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,7,79,233,487040,988,0,488261,487273,233,0,4725,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,1,1484,488192,988,813,490664,489676,1484,3273,140,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,2,450,490624,813,229,491887,491074,450,787,80,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,3,172,491776,144,46,492092,491948,172,196,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,4,683,492032,559,0,493274,492715,683,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,5,136,493184,228,130,493548,493320,136,458,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,6,859,493440,656,0,494955,494299,859,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,7,153,494848,965,295,495966,495001,153,1259,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,8,140,495872,336,139,496348,496012,140,504,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,9,138,496256,270,0,496664,496394,138,0,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,10,198,496512,596,189,497306,496710,198,845,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,11,200,497152,837,188,498189,497352,200,805,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,12,187,498048,552,87,498787,498235,187,377,30,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,13,185,498688,226,39,499099,498873,185,209,0,1
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,8,14,212,498944,707,0,499863,499156,212,0,3420,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,9,1,1762,499840,2135,1242,503737,501602,1762,4794,122,1
