session,depth,label,agent_coordination,bash_other,delegation,deliverable,external_fetch,external_search,other,shared_read,shared_rw,shared_write,sharedIOPct
1deec50d-0878-4863-bb81-61106e0e28a5,3,Part B reporting protocols research,1,70,4,1,4,0,0,27,14,3,35.5
1e0ef8e5-13ab-407d-9611-97e58bc5370f,2,Research rumour risk amplification theory,10,76,3,1,10,0,4,10,1,10,16.8
1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,3,LLM-driven IO research 2024-26,1,102,0,1,3,0,0,3,2,2,6.1
203408d4-bf52-4104-973b-d706b0c5b4e9,2,US base and UK drone incidents,8,107,4,0,2,0,4,9,3,0,8.8
214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,10,71,9,3,15,9,4,16,2,21,24.4
219f73d7-254d-4d3d-962b-879d88a0bc7c,2,Loitering munitions market costs,7,63,2,1,3,0,1,2,1,6,10.5
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,Swarm coordination evidence audit,1,18,0,1,46,13,0,1,0,1,2.5
279d0ac8-42e7-4ca8-8ac6-58f028f6451c,3,Colombia pipeline and policy evidence,2,49,0,1,0,1,1,1,0,4,8.5
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,GNSS-denied nav and edge AI access,1,13,0,1,35,12,0,7,2,8,21.5
31ca772b-cb14-42f3-b07d-64354d9cda59,2,Personas and influence-for-hire,6,85,6,1,2,0,1,31,4,14,32.7
3772f16b-2bc9-4aa4-ac37-ccd5595b0118,3,Attributed operation counts 2023-2026,0,93,3,0,0,0,2,3,0,0,3.0
3795a316-6973-4223-bd76-0c6937d676ee,2,Research Hamas/Hezbollah armed drones,1,0,0,0,60,0,0,0,0,0,0.0
37c2487b-2257-4105-aba3-b5761765d4c4,3,Research US base drone incursions 2024-2026,0,95,3,0,3,0,1,1,0,0,1.0
3b284c34-2f3a-489e-bd11-6c9add7fde1c,3,Anthrax letters research stream,1,150,0,1,7,0,1,4,3,2,5.3
414abba5-9455-4df0-b917-95ea002ee90b,2,Research active measures hybrid warfare,1,56,0,1,43,0,3,2,1,7,8.8
42c75fd5-9805-461d-bb22-827fd626fba5,3,Topic 2 adaptive narrative research,1,53,0,1,10,0,0,4,0,3,9.7
43ef5bbb-5c03-40a7-9dd3-5ee7fcdb2981,3,Audience effects of synthetic corroboration,1,73,2,1,4,0,8,0,3,3,6.3
46b82e74-e114-4473-b55d-e2c13cfef604,1,Health and military scare cases,6,51,3,2,1,0,0,82,22,37,69.1
488c117a-eb10-4b07-a2c5-aa16a6a495af,2,Research reflexive control lineage,1,63,0,1,21,0,3,8,1,13,19.8
4b196287-db27-4f90-9ecc-72e329e450d8,2,State-adversary scare operations strand,4,103,3,2,3,0,1,23,10,23,32.6
4c7b0eb7-ce4e-4ce2-9f59-753903f97546,3,AI agent prior art mining,1,71,3,1,0,0,2,2,10,21,29.7
4cb878d7-f1f8-43fe-a5f6-e457721c9553,3,Counter-UAS triage criteria guidance,1,109,3,1,3,0,1,3,2,1,4.8
4d64b50a-7a7d-4341-ad42-7423dfdb7063,3,Persuasion effects literature,1,62,0,1,0,0,4,1,0,1,2.9
4db3eaea-9340-4bc4-afcd-2eb00a500626,3,Academic CIB detection methods,0,73,0,0,0,0,0,8,0,0,9.9
4f250851-e006-4514-a721-35202c9cd223,2,NL BE organised crime drones,1,2,0,1,60,6,1,1,0,7,10.1
500069eb-b528-47b9-8cbf-6873331d1c1c,2,Cost and access economics research,15,98,4,1,2,0,1,8,2,19,19.3
51cd8c6f-79cc-4c21-9a72-2bb7c3828e01,3,Disease X + WHO withdrawal,1,91,3,1,0,0,1,11,2,6,16.4
51f796a3-f550-4344-be44-eba389ff8b73,3,Research UK MoD drone incidents,1,35,0,0,16,0,0,0,1,0,1.9
51fc805d-9281-411b-af39-b6f876f81b1d,2,Research perception mgmt and info ops,10,104,2,2,0,0,1,7,1,15,16.2
52f269b0-843f-4c9a-9902-198968ecd5f5,3,National CT unknown-cause guidance,1,19,2,1,40,0,1,27,1,14,39.6
53ed1b24-a136-4bab-84d3-06ff837a055d,3,AI deepfakes synthetic evidence,1,51,0,1,10,0,0,11,1,7,23.2
54430afb-5e40-47af-b371-e15deabcbf27,3,Deepfake detection accuracy studies,1,53,0,1,1,0,1,1,1,1,5.0
56542a81-0524-4af5-acd1-92a7cbbf9c8b,1,Risk psychology and sociology,1,24,0,1,11,0,0,17,1,23,52.6
5ae391ef-e246-4ce4-a2a8-90ded6cc0940,3,US NJ drone wave verification,1,108,2,2,3,0,2,3,0,2,4.1
5be694c4-da25-46a7-8195-38c359b42860,3,2025 Hegseth MISO language shift,0,51,2,0,0,0,0,1,0,0,1.9
5c68d179-2392-4852-896c-1a4933d59ebf,3,Belgium OCAM drones research,2,51,0,1,0,0,0,1,0,1,3.6
5c72160c-7771-45e4-aa96-c81976ec5f83,3,Media gen and human baseline costs,1,69,1,1,5,0,0,20,2,1,23.0
5e2d13b6-32ba-4fcc-9c15-452b9f884509,3,Germany drone incident verification,1,89,2,1,0,0,2,3,6,2,10.4
5fb605f1-c023-4869-ba9a-7d3e11e1fcd7,3,EASA EUROCONTROL INTCEN research,1,47,0,1,0,0,0,1,0,3,7.5
5fe471da-406c-4b74-ac78-9e1d2d25a90f,3,Topic 3 multilingual messaging research,0,74,2,0,0,0,1,7,3,0,11.5
61b1e41b-32e7-4092-aa70-26577f10fb08,2,Effectiveness evidence,4,84,5,1,0,0,3,17,5,33,36.2
66e40dd4-27e6-4a85-83e8-edb605b0b1d9,2,Crisis risk communication research,2,81,3,1,21,0,2,11,3,6,15.4
69945366-9aea-4a07-a7fb-3ae889133eb7,3,Critical infrastructure drone incursions,1,46,0,1,20,0,0,4,1,10,18.1
6d105fdb-03f9-44c6-93a2-3d50ac916f2a,3,Military strategic prior art,1,104,2,1,0,0,1,3,1,14,14.2
6f182957-7587-4604-97e9-5b8275f63b51,1,Concept genealogy and fit,11,172,6,5,2,0,2,10,1,5,7.5
6f3e236e-1a8d-43fa-a135-c0eb0229a696,3,Norway PST drones research,2,68,1,1,0,0,1,11,0,13,24.7
74e3962c-673c-4068-90c4-60d02d23773c,3,Part C indicators and warnings research,1,73,4,1,7,0,3,23,3,3,24.6
77ee89e8-327b-4e3a-a160-c2ca700953df,2,"Prebunking, reflexivity, indicators research",8,98,3,1,0,0,3,25,6,15,28.9
788b4f96-a913-4fb4-93d7-d44af41dd69e,3,Minimal-effects IO literature,1,71,0,1,1,0,1,0,2,1,3.8
78eb7cd5-19e0-4682-857d-67f6cdd17f3e,2,France Nordics Belgium drone assessments,15,95,5,1,13,0,1,6,0,6,8.5
7b92362e-8682-4b98-afdf-b980936427fc,3,Topic 3 fact-check evasion,1,67,3,1,1,0,3,1,2,2,6.2
7c73d0c4-2fbe-48b3-b02e-f5d48bf540df,3,mpox clade Ib research notes,1,86,0,1,3,0,1,9,2,8,17.1
7cf0e1f7-e315-47b5-8bd3-c0fe5f3bc631,3,COVID origin lab-leak persistence,1,110,0,1,7,0,0,6,0,12,13.1
7d77b175-ad9d-4569-ac05-e9e66bdc78b3,2,Drone contraband prison smuggling,1,86,0,1,4,4,4,15,3,18,26.5
80582e1e-cc24-4c49-bd41-86060a72245a,3,Topic 4 newsjacking research,1,56,0,1,1,0,3,4,1,6,15.1
83090c92-ff01-4abc-9b2e-a07744680239,3,Topic 1 persona + platform evidence,0,40,2,0,6,0,1,5,0,3,14.0
8605360c-4c6f-42c8-91a0-b14fdbd777da,2,Deepfake and synthetic corroboration research,9,99,5,1,3,0,1,16,2,36,31.4
8751d743-58c1-4ab8-b071-69ef3942b863,3,Drone recon over bases,1,0,0,0,59,1,0,0,0,0,0.0
8a55607d-c2f7-40a7-8d99-f0d1e5c44581,2,European retractions and influence ops,9,83,1,2,8,0,4,8,0,15,17.7
8af84e58-43fa-4764-a1b4-7912b5822dcf,3,Research stream C AI persuasion,1,70,0,1,1,0,3,5,1,4,11.6
8bc9d075-fab0-400a-9e01-b232d368ee02,3,Radiological chemical scares research,1,130,3,1,10,0,2,7,4,14,14.5
8e5bc453-00b8-4d6d-8809-d06846ad9c63,3,German drone threat primary sources,1,64,0,1,0,0,0,9,6,4,22.4
91004cb5-9eb3-4dce-a088-e6396350299a,2,Research non-state drone proliferation,1,53,0,1,25,0,7,35,16,12,42.0
98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,2,UK Germany drone threat assessments,3,97,1,1,1,0,0,1,5,7,11.2
99dae34e-50a3-42d8-b818-f7eda5a3f4f6,1,Middle East conflict autonomy evidence,8,52,6,1,15,6,1,20,1,19,31.0
9ab7a0c1-d19a-45d5-b511-696d1d884a19,1,Ukraine Russia autonomy evidence,1,34,0,1,16,15,3,9,2,1,14.6
a03701b7-142d-488a-a322-e5feeafd11d9,2,Autonomy and countervailing evidence,1,10,0,1,2,6,3,61,4,9,76.3
a067dd8e-2222-440c-8e7c-641668d7d696,3,X transparency and DSA data,0,54,2,0,2,0,1,0,2,0,3.3
a1c59a96-24c6-4c8a-8958-0ca6b7c17078,2,Research Houthi drones and USVs,1,0,0,0,46,1,0,0,0,0,0.0
a44a0b87-ba76-4be9-949f-240869398872,3,CERN and scientific uncertainty comms,1,30,0,1,24,0,1,5,1,1,10.9
a4a04330-c73f-4cd8-a92e-9837ccb861ba,2,Search for self-amplifying attack concept,7,83,4,1,4,0,1,19,1,42,38.3
a7eef189-3bc7-404b-9379-01dd00107abc,2,Non-amplification and reporting protocols,1,93,2,1,3,0,5,16,11,2,21.6
a87a9e47-2c5c-469b-920f-e10080392655,3,German airport drone closures,1,59,0,1,4,1,2,8,0,28,34.6
aa3fc864-9f3a-48a6-886d-b7860bff5228,3,Trace German drone amplification,1,75,2,1,0,0,2,2,0,1,3.6
ac188085-eef8-4b4d-82d2-e1555f17ba4a,2,Incident verification and triage research,12,114,4,1,0,0,4,32,5,12,26.6
ac2e73e0-e9f1-433d-94ae-6e2ff77072d7,2,Airport drone disruption,4,58,3,1,4,2,3,5,0,17,22.7
aecad63f-f9ac-4428-ba51-fa4643681903,3,NATO DIANA NIF NSPA procurement,1,68,0,1,4,0,4,6,0,12,18.8
af14560f-2086-4ece-843f-bcf1c8c6454e,3,Research stream E AI reach,1,63,0,0,0,0,2,10,0,18,29.8
b0f0ef6b-188b-48bb-a9b0-a808aa6a8393,1,Counterexamples and resilience limits,1,39,0,1,14,0,3,17,0,32,45.8
b1c47186-e044-4c6c-9148-2f6913193f95,2,Public health scares strand,6,70,4,1,12,0,1,15,3,18,27.7
b61859d5-9abc-4cc9-8ea7-06c15e81ef05,1,Computational propaganda evidence,8,53,5,3,4,0,1,55,12,83,67.0
bc7323c8-aee3-4194-a341-b6c18b1b0475,2,Monitoring and localisation research,11,84,3,1,4,0,4,11,0,5,13.0
bd42af51-5254-4fed-9c58-31009c05088d,3,SARF critiques + adversarial amplification,1,45,0,0,30,0,0,0,0,0,0.0
c0fd3b9e-4ce0-4a6e-837d-b7459d0efeb1,3,FRONTEX Eurojust Europol research,2,56,0,1,0,0,0,0,1,6,10.6
c226e74e-90e4-4e33-b349-0decbf893847,2,Colombia Ecuador drones,4,42,2,1,5,3,3,2,0,9,15.5
c2e2b954-63bb-4c00-8d45-37e953901183,1,NATO EU institutional threat assessments,12,51,3,4,11,5,2,77,4,29,55.6
ca75c80e-2ca5-4d1c-afd7-9ad9309b35cf,2,Hybrid state activity NATO,5,0,2,1,49,5,3,24,0,39,49.2
cad4acd7-2d5d-468e-9c3a-c82006a265ff,3,UK drone incident counting,1,88,0,1,2,0,2,19,5,2,21.7
cbade403-6f00-4ad7-814c-2792a2001fa2,2,Terrorist drone and AI misuse,1,67,0,1,4,3,1,1,0,9,11.5
cbd79d49-d00e-47b2-8613-1814b77230c7,2,Drone assassination attempts,1,12,0,1,49,6,0,14,0,14,28.9
cc07f9d4-0390-4bb3-90b1-866e31d30b66,2,Persona and coordination research,13,88,3,2,4,0,1,8,1,22,21.8
cc1fd076-ce12-4f21-9a03-de36e199d4ef,2,EU bodies and NATO drone evidence,3,111,3,1,2,0,1,2,4,4,7.6
cceedd38-6543-457a-a7f8-753d6bda1067,3,Economics complexity prior art,1,127,0,1,0,0,4,10,4,19,19.9
cf585c39-06cc-4e86-814e-fd4bb5dfcee8,3,5G health scare research,1,50,0,1,29,0,1,0,1,6,7.9
cf5cf6dc-ad72-4113-af71-f5d02bdcbaa9,3,Non-state loitering munition acquisition,0,54,3,0,0,0,2,1,2,0,4.8
d07fdde4-91a3-4617-9341-d7100c77ab33,3,CIB and bot-detection critiques,1,78,0,1,0,0,3,2,2,1,5.7
d0d01526-dedf-4523-9301-738d6b6201fb,3,Fake personas long-running cases,1,131,3,1,0,0,22,1,2,1,2.5
d621470b-d5c3-4d66-8068-39bb2bf6b1b1,3,Europe Iranian drone plots,0,34,0,0,12,0,2,0,0,0,0.0
d66ce668-ccde-4227-ba1d-cc1b1a1ffabb,3,AI news sites pink slime,1,87,0,1,0,0,7,2,4,2,7.7
da3f0b85-eed0-4f76-9e18-fe1bac271b94,3,AI and physical incident panics,1,35,0,1,0,0,0,10,9,1,35.1
da686808-a9a8-4593-82da-6d9877f9814b,3,Topic 2 cross-platform coordination,0,38,2,0,3,0,1,2,0,0,4.3
dabeb4b9-b19b-4707-bb52-c02368aacf3c,3,AI platform threat reports,1,91,0,1,9,0,18,25,10,3,24.1
db47cece-2df5-48fe-85ed-0ec663494f6a,3,Iran-Israel drone strike scale,1,5,0,1,35,0,4,2,0,2,8.0
dc0b75f5-7e62-49c9-a810-8793a1c7648f,1,Defensive practice and non-amplification,1,52,6,1,0,0,2,32,4,7,41.0
defd571a-2f0d-47a2-8239-28e4b4bccd9e,2,Storm-1516 and Russian networks,2,92,2,1,0,0,5,5,3,4,10.5
dfc6a190-85d7-4f6a-a2d3-52df9a1a18eb,2,Research Iran Shahed proliferation,11,45,3,1,17,1,2,8,0,7,15.8
e1f701aa-bb3e-40c8-82b5-4bbd71f77ab5,3,Security terrorism prior art,1,64,0,1,0,0,3,18,1,7,27.4
e289f909-7350-45de-8d96-c53ca34ad0e9,3,"Spain, EU airports, drone wall",1,48,4,0,14,0,4,6,1,10,19.3
e465e26f-14d4-4ebd-8832-5e216849629a,2,Synthetic corroboration detection research,1,97,0,1,0,0,14,8,1,3,9.6
e49930ac-674f-41f7-8ead-2c84161d693d,1,Counter-UAS defender economics,1,16,0,1,47,12,1,2,1,9,13.3
e5f8178b-4e43-4785-a609-d874a0b4c8ff,3,Research stream D sceptical takes,1,95,2,1,10,0,0,2,0,8,8.4
e6d543ab-0b19-4bf2-b18f-38035131a688,3,A3 strategic silence scholarship,1,75,3,1,3,0,2,5,11,2,17.5
e7ffd16b-4bd4-497b-8ecb-6dbf531dcd45,3,Ecuador drone misuse evidence,1,54,0,1,0,1,0,0,0,9,13.6
e88833f3-45c6-4e44-bab5-b0ee7c154093,3,Spamouflage and Operation Overload,1,93,2,1,1,0,0,9,2,10,17.6
e8b3050c-765a-4f10-9bae-9fcc012336ae,2,Detection and takedown evidence,12,65,3,1,14,0,1,5,4,10,16.5
ea5b5eba-bb5c-4abc-a533-fa3166962e11,3,Infrastructure scare research stream,1,71,3,1,4,0,2,27,6,9,33.9
eb8d439f-0c62-46e9-b56b-166d47739816,3,Mental models risk communication,1,44,2,1,31,0,2,2,0,1,3.6
ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,2,Attribution discipline research,1,128,0,1,6,0,4,38,15,3,28.6
edb0f8d3-0c07-4a47-9834-d2bb6ae9a3ac,2,Research computational propaganda CIB,6,76,4,1,0,0,2,15,3,20,29.9
eeb7ab60-2a68-4c2c-ac20-2ecd68401faa,3,Portal Kombat and Matryoshka,1,60,3,1,1,0,0,2,1,2,7.0
f075487c-22fd-44f1-b4d8-b5fe1df11602,2,German drone incidents amplification,8,145,2,1,1,0,3,9,3,9,11.6
f38af81e-dc28-419d-ba96-1e5e64b5619c,3,Influence-op drone amplification,1,70,1,1,7,0,2,16,3,1,19.6
f46b62e3-769c-456c-86bf-bdc081345c27,3,Part A prebunking research,2,73,0,1,0,0,3,2,0,3,6.0
f51e95e9-cb4e-4789-88f1-e8f8db604767,3,Drone exports and smuggling,1,36,0,1,41,0,9,3,8,8,17.8
f54b15a3-b0aa-4d8a-961f-1cd6fa0548d6,1,Agentic AI capability evidence,9,60,4,2,3,0,0,54,2,58,59.4
f55f1385-9dbe-48d0-bdb9-b173663b724d,3,Denmark PET drones research,2,48,0,1,0,0,4,2,0,7,14.1
f5d926fb-1c4e-4c16-af8f-c7dce00748fd,1,Drone sighting ambiguity cases,5,72,3,1,9,0,3,19,4,19,31.1
f5df77f0-07e0-4f4c-b651-3c39c0ad7fc5,3,Fake experts think tanks networks,1,79,2,1,10,0,2,2,2,2,5.9
f5e96aa3-70c9-4e26-9382-93d9e43e4ad1,3,International political deepfakes,1,63,0,1,2,0,1,2,9,1,15.0
f638b8fd-d6d5-4a0c-90a4-f56c8d2a833a,3,Information laundering research,1,52,0,0,2,0,0,0,0,0,0.0
f73d55cf-1c48-412b-9e84-8cd33f0e1045,2,AI lab and platform threat reports,1,88,0,1,3,0,4,5,1,9,13.4
f77cc8b8-0dbc-4a09-bc93-2b32146d1abb,3,Part B reflexivity trap research,1,130,0,1,5,0,7,14,4,1,11.7
fc1be9de-04ba-4111-abe0-c4c21b4b864c,3,Detection and belief studies,1,70,2,1,0,0,3,2,0,14,17.2
fd99d7af-8074-4047-8e7d-4e2aa26856b5,3,Influence-for-hire troll farms,1,66,4,1,5,0,2,2,2,17,21.0
fe9e2e13-60d9-4f06-b9a7-06ae33839116,3,Platform access and integrity economics,2,61,2,1,0,0,1,2,0,1,4.3
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,22,97,16,18,6,9,6,78,24,115,55.5
