time,session,depth,label,turn,nFiles,paths,descriptions
1790329304993,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,12,4,amplification/Agentic-Threat-Amplification-2026.md|AI-Autonomy-Threat-Assessment-2026.md|amplification/findings/05-drone-cases.md|amplification/findings/01-concepts.md,"Main amplification study (~23,100 words): prior-art lineage led by Clausewitz, the self-correction withdrawal, the novelty gap, and the strengthened central negative finding with the Galați exception. || Parent autonomy report: two unverified claims withdrawn and recorded, German count series caveated. || Drone-sighting cases: 8 reconstructed cascades, the credentialled-first-reporter finding, and the institutional-amplifier conclusion. || Concept-fit audit with the verified prior-art lineage."
1790329362386,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,13,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/06-health-military-cases.md|AI-Autonomy-Threat-Assessment-2026.md,"Main amplification study (~23,600 words), final: the severity inversion, the two routes to permanent non-closure, and the 5G insufficiency proof. || Health and military scares: Havana, the 2023 balloons, UAP, H5N1/mpox inversion, 5G, Disease X, Tylenol — the evidence base for the six durability variables. || Parent autonomy report with two unverified claims withdrawn and recorded."
1790329427053,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,14,2,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/03-computational-propaganda.md,"Main amplification study (~24,100 words), final: retracted persuasion effect size, the hardest null in the corpus, the 'not all AI' qualification, and measured reach figures. || Computational propaganda 2023–2026 with the case table, correction log and citation-integrity warnings."
1790329737679,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,15,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/08-defensive.md|AI-Autonomy-Threat-Assessment-2026.md,"Main amplification study (~24,900 words), final: the inconsistency correction, the institutional-response indicator set, the DFRLab coordination caution, and the deflated prebunking ranking. || Defensive practice: nine areas with mature practice, evidence base and failure mode, plus 'where institutions disagree' and eight explicit unknowns. || Parent autonomy report with the Überattribution quotation withdrawn."
1790329845941,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,16,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/01-concepts.md|AI-Autonomy-Threat-Assessment-2026.md,"Main amplification study (~25,150 words), final. Concept-fit audit now corrects two doctrine errors and rates perception management as Poor fit. || Concept-fit audit, frozen: prior-art lineage, fit ratings, and the 'configuration, not threat class' verdict. || Parent autonomy report: two unverified claims withdrawn and recorded."
1790330089838,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,17,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/01-concepts.md|AI-Autonomy-Threat-Assessment-2026.md,"Main amplification study (~25,450 words), final. Concept-fit audit now carries the split reflexive-control rating and positions the novelty at the under-theorised conjunction. || Concept-fit audit, frozen at 2,783 words: prior-art lineage, fit ratings, ghost-citation warnings and the 'configuration, not threat class' verdict. || Parent autonomy report (~20,700 words) with corrections recorded."
1790330230077,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,18,3,amplification/Agentic-Threat-Amplification-2026.md|amplification/findings/01-concepts.md|AI-Autonomy-Threat-Assessment-2026.md,"Main amplification study (~26,150 words), final: the decisive constraint finding (simulation-only agent coordination), the 150,000-vs-57 natural experiment, the bot-detection false-positive caution, and the 'currently unobserved' framing. || Concept-fit audit, frozen: all six evidence streams, the fit table, ghost-citation warnings and the configuration-term verdict. || Parent autonomy report (~20,700 words)."
1790328440169,03610d94-497f-4c66-86a1-26dedb722877,3,Compute cost curve research,1,1,amplification/research/compute-costs.md,"Compute & inference cost research notes: 2026 GPU rental prices, 2026 shortage reversal, self-hosting $/1M tokens, local rig capex + EIA electricity, the 2023-2026 cost-per-token collapse with methodology split, cheap-tier API prices, verification ledger and failed searches."
1790325288833,0995197a-2bd6-40b0-9e9f-95c97303a4b0,3,France drone incidents and law,1,1,/Users/leonvanbokhorst/repos/deep-research/research/france2.md,"France scope findings: counter-UAS legal basis (correction), 2026 parliamentary reports, incidents/numbers, SNRP"
1790325340321,0bad5fb6-bd2c-4a53-9a01-4b5f2a60311f,3,Sweden Säpo drones research,1,1,/Users/leonvanbokhorst/repos/deep-research/research/sweden.md,Sweden threat-assessment section with primary-source citations
1790325434523,0c0085ae-9b77-4f1a-a065-50ca523039a1,2,Mexico LatAm cartel drones,1,1,/Users/leonvanbokhorst/repos/deep-research/research/01-mexico-latam.md,"Structured threat-research findings on documented cartel drone misuse in Mexico and Latin America (2020–2026), with per-incident date, location, actor, drone behaviour, remote-vs-autonomous note, source URL and evidence-quality rating, plus a 34-URL source list."
1790328985775,0d16099c-35f0-4538-a480-5c5c15cf5b87,3,Research stream F IRA official,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/notes/stream-f-ira-official.md,"Stream F notes: official/primary IRA reach figures with provenance, grades, confidence, and verification status"
1790325125149,109e924b-6fb2-4a09-822c-b44e4256f317,1,AI-assisted planning and coordination,1,1,/Users/leonvanbokhorst/repos/deep-research/ai-planning-uplift-brief.md,"Structured evidence brief on AI and the economics of violence (9 topics, confidence-rated, with source list)."
1790328597895,1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,2,Product and food scare strand,1,1,amplification/sources/raw-product-env.md,"Evidence notes on 9 product/food/environmental scares with weak or ambiguous physical threats: 1982 Tylenol murders, 2025–26 acetaminophen–autism, 2018 strawberry-needle crisis, 2026 HiPP baby-food rat-poison extortion, metal/glass recall waves, wind turbine syndrome, Havana syndrome, EHS, DRC 'Dise"
1790328699023,17a084cf-9432-43a8-b80b-8919b47feba3,3,Research stream B effects,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/notes/stream-b-effects.md,"Stream B structured research notes: effects of foreign/covert influence and disinformation exposure, minimal media effects, persuasion decay, and correction/inoculation meta-analyses (2023–2026)."
1790328583072,1bf60fa7-70cb-49e0-87a2-17d8a39320a6,3,Pink slime and economics,1,1,amplification/notes/_sub-pinkslime-economics.md,"Pink-slime / AI-news ecosystem findings (Part A) and 2026 pricing tables, derived cost arithmetic, and negative findings (Part B)"
1790328475234,1deec50d-0878-4863-bb81-61106e0e28a5,3,Part B reporting protocols research,1,1,amplification/research/05b-reporting-protocols.md,"Part B research note: public reporting protocols and their false-positive evidence (B6/B7/B8), with claims, publishers, dates, URLs, evidence grades, confidence and limit notes."
1790329130216,1e0ef8e5-13ab-407d-9611-97e58bc5370f,2,Research rumour risk amplification theory,1,1,amplification/sources/cascade-theory.md,"Source audit of five amplification literatures (rumour theory, moral panic, availability cascades, SARF, information laundering) against the agentic-threat-amplification hypothesis — canonical citations, verbatim definitions, deliberate-vs-emergent verdicts, fit ratings and UNVERIFIED flags."
1790329646967,1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,3,LLM-driven IO research 2024-26,1,1,amplification/notes/llm-io.md,"Structured evidence review: generative-AI/LLM-driven influence operations (c. 2024–2026), with verified URLs, effect sizes, confidence ratings, and demonstrated-vs-speculative sections."
1790325138871,214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,1,1,criminal-misuse-brief.md,"Threat-assessment brief on documented misuse of drones and AI-enabled tools outside inter-state warfare (10 topics, per-incident evidence grading, 53 source domains)"
1790325217705,214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,2,1,criminal-misuse-brief.md,"Final threat-assessment brief (updated with late-arriving corrections: Colombia military-intelligence attack series, failed Escudo Nacional Antidrones, Ecuador prison-centric correction, Gatwick reward, Vilnius birds, Cologne/Bonn, extra terrorism cases)"
1790325479883,214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,3,1,criminal-misuse-brief.md,"Threat-assessment brief — final version with all late-arriving corrections integrated (Mexico/LatAm rewrite, Colombia military-intelligence attack series, failed Escudo Nacional Antidrones, Ecuador prison-centric correction, Gatwick reward, Vilnius birds, Cologne/Bonn, additional terrorism cases and"
1790325242616,219f73d7-254d-4d3d-962b-879d88a0bc7c,2,Loitering munitions market costs,1,1,/Users/leonvanbokhorst/repos/deep-research/loitering_munitions_open_market_brief.md,"Loitering munitions open-market brief: per-unit cost, export availability, non-state acquisition, dual-use supply chain, and the low-cost end (2020–Sep 2026)"
1790324849210,230a12e6-6703-4fa1-97a8-d3265be4edb1,1,Swarm coordination evidence audit,1,1,/Users/leonvanbokhorst/repos/deep-research/swarm-audit-brief.md,"Sceptical audit of drone swarm / multi-agent coordination claims (25 Sep 2026), with demonstrated/claimed/inferred tagging, confidence ratings, and full source list."
1790325077150,279d0ac8-42e7-4ca8-8ac6-58f028f6451c,3,Colombia pipeline and policy evidence,1,1,/Users/leonvanbokhorst/repos/deep-research/research/notes-colombia-policy.md,"Colombia 2024–2026 research notes: drone attacks on oil/pipeline infrastructure (A), anti-drone policy (B) and law (C), with dates, actors, control mode, evidence-quality ratings and a 74-URL source list."
1790324808813,2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,GNSS-denied nav and edge AI access,1,2,findings/generic_enablers_brief.md|sources/bulletin-ai-killer-drone-2026.txt,Threat-research brief: accessibility of GNSS-denied navigation and edge-AI machine vision to non-state actors || Full recovered text of the Aug 2026 Bulletin of the Atomic Scientists 'killer drone' article (prior capture was a Cloudflare stub)
1790328962646,31ca772b-cb14-42f3-b07d-64354d9cda59,2,Personas and influence-for-hire,1,7,amplification/sources/sub-personas.md|amplification/findings/personas-1-fake-identities.md|amplification/findings/personas-2-fake-experts-networks.md|amplification/findings/personas-3-ai-news-pink-slime.md|amplification/findings/personas-4-influence-for-hire.md|amplification/findings/personas-5-deepfakes-synthetic-evidence.md|amplification/findings/personas-6-detection-and-belief-studies.md,"Persona Management and Synthetic Corroboration — source-linked research notes covering all six mandated areas, with per-claim source URL, date, publisher, evidence grade (A–E), confidence, demonstrated/claimed/inferred separation, a key-numbers table, a gaps list, and Crossref/Semantic-Scholar-verif || Companion working file: long-running fake personas and fabricated identities (Dougan/Storm-1516 primary sources, named verified personas, Spamouflage, Iranian, Team Jorge, PeaceData, Philippines). || Companion working file: fake experts, think tanks, NGOs, fact-checkers, paper mills and the 'one source as many' effect (Pravda/Portal Kombat, Indian Chronicles). || Companion working file: NewsGuard AI content-farm counts over time, pink-slime networks, measurable audience, and web-scale AI-authorship measurement (Pew 2026). || Companion working file: Team Jorge, STOIC, Archimedes, Anthropic/OpenAI 2025–26 disclosures, the fake-engagement market, and Philippines/Kenya/India/Brazil cases. || Companion working file: deepfake audio/video, AI fake imagery and documents, synthetic personas, and the liar's dividend (48 graded sources). || Companion working file: 51 verified citations on detectability of AI faces/text/audio, human deepfake detection, repetition and the multi-source question."
1790329065343,3b284c34-2f3a-489e-bd11-6c9add7fde1c,3,Anthrax letters research stream,1,1,amplification/notes/stream-c-anthrax.md,"Stream C research notes: 2001 anthrax letters, hoax/copycat wave, later ricin letters — causal chains, verified figures, 23 resolved sources with evidence grades, and an UNSOURCED/UNCERTAIN section."
1790328485262,414abba5-9455-4df0-b917-95ea002ee90b,2,Research active measures hybrid warfare,1,1,amplification/sources/active-measures-hybrid.md,Source audit of active measures and hybrid warfare for the agentic threat amplification hypothesis
1790328368894,42c75fd5-9805-461d-bb22-827fd626fba5,3,Topic 2 adaptive narrative research,1,1,amplification/notes/raw-topic2.md,"Topic 2 raw research notes: adaptive narrative selection — evidence, grading, negative findings, bottom line"
1790329019883,43ef5bbb-5c03-40a7-9dd3-5ee7fcdb2981,3,Audience effects of synthetic corroboration,1,1,amplification/notes/_sub-audience-effects.md,"Sub-brief: audience detection of and response to synthetic corroboration — effect sizes, N, DOIs, A–E evidence grades, plus failed/unverified search log"
1790328859916,46b82e74-e114-4473-b55d-e2c13cfef604,1,Health and military scare cases,1,4,/Users/leonvanbokhorst/repos/deep-research/amplification/findings/06-health-military-cases.md|/Users/leonvanbokhorst/repos/deep-research/amplification/sources/raw-publichealth.md|/Users/leonvanbokhorst/repos/deep-research/amplification/sources/raw-product-env.md|/Users/leonvanbokhorst/repos/deep-research/amplification/sources/raw-adversary.md,"Main brief: eight non-drone ambiguity cases with causal chains, amplification types, A–E evidence grades, URLs, cross-case synthesis and the strongest counterexample || Delegated raw evidence file: H5N1, mpox clade Ib, Disease X, COVID origins, 5G with source-level grades || Delegated raw evidence file: Tylenol 1982 and 2025–26, strawberry needles, HiPP, wind turbine syndrome, EHS || Delegated raw evidence file: INFEKTION, yellow rain, 2001 anthrax, radiological/chemical, 2022–26 hybrid ambiguity"
1790329336429,46b82e74-e114-4473-b55d-e2c13cfef604,1,Health and military scare cases,4,1,/Users/leonvanbokhorst/repos/deep-research/amplification/findings/06-health-military-cases.md,"Final brief: eight non-drone ambiguity cases with causal chains, amplification types, A–E grades, URLs, cross-case synthesis and the strongest counterexample"
1790329993940,488c117a-eb10-4b07-a2c5-aa16a6a495af,2,Research reflexive control lineage,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/sources/reflexive-control.md,"Findings on reflexive control and cognitive warfare, with canonical sources, deliberate-vs-emergent verdicts, fit ratings to the agentic-threat-amplification hypothesis, confidence tags and UNVERIFIED flags."
1790328925739,4b196287-db27-4f90-9ecc-72e329e450d8,2,State-adversary scare operations strand,1,1,amplification/sources/raw-adversary.md,"Raw evidence file: adversary manufacture/exploitation of health, chemical, radiological and infrastructure scares (INFEKTION, yellow rain, 2001 anthrax, radiological/chemical scares, infrastructure hybrid-sabotage), with causal chains, graded full-URL sources, counterexamples and an unsourced/uncert"
1790329135998,4b196287-db27-4f90-9ecc-72e329e450d8,2,State-adversary scare operations strand,2,1,amplification/sources/raw-adversary.md,"UPDATED raw evidence file (87 graded source URLs). Section (c) now carries the GAO-04-239 hoax counts, the Schmitt & Zacchia $320M cleanup costing and corrected AMI figure; sections (d) and (e) carry the radiological and infrastructure stream findings."
1790329561761,4c7b0eb7-ce4e-4ce2-9f59-753903f97546,3,AI agent prior art mining,1,1,amplification/findings/ai-agent.md,"Exact-phrase mining + canonical-source findings on named AI/agent concepts for 'small attacker action → target self-amplifies the damage', with confidence tags and explicit NOT FOUND negatives."
1790328826334,4cb878d7-f1f8-43fe-a5f6-e457721c9553,3,Counter-UAS triage criteria guidance,1,1,amplification/research/raw/triage-strand.md,"Graded triage-criteria findings: sighting vs contact vs confirmed drone vs hostile drone, with verbatim quotes, exact URLs, negative findings and gaps"
1790328584229,4d64b50a-7a7d-4341-ad42-7423dfdb7063,3,Persuasion effects literature,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/research/persuasion-evidence.md,"Evidence review: are audiences more resilient than assumed? Null results, counter-evidence with effect sizes and CIs, methodological critiques, retrieval provenance, and failed searches."
1790324823292,4f250851-e006-4514-a721-35202c9cd223,2,NL BE organised crime drones,1,1,research/07-nl-be-organised-crime.md,"Structured research findings: organised crime use of drones in the Netherlands and Belgium (prisons, ports, reconnaissance, official assessments, prosecutions), with per-entry evidence grading and full source list."
1790328754683,500069eb-b528-47b9-8cbf-6873331d1c1c,2,Cost and access economics research,1,5,amplification/notes/cost-access.md|amplification/research/compute-costs.md|amplification/research/media-human-costs.md|amplification/research/access-integrity-economics.md|amplification/research/persuasion-evidence.md,"Main deliverable: cost, access and the limits/economics of defence in 2026. 1,339 lines, every claim carrying number + source + URL + date + A–E grade, explicit verified-vs-inferred flags, failed-searches table, and a 250-word bottom line. || Companion: GPU rental tables (Lambda/RunPod/CoreWeave/Modal/hyperscalers), the 2026 price reversal, self-hosting, cost-curve literature, EIA electricity. || Companion: image/video/audio/voice pricing floors and the human labour baselines (BLS/O*NET, offshore, PR retainers). || Companion: account/SMS/proxy/CAPTCHA markets, official platform API pricing and rules, integrity economics and DSA transparency. || Companion: full effect-size review with CIs and DOIs — null results vs counter-evidence, meta-analysis, methodological critiques."
1790328677074,51cd8c6f-79cc-4c21-9a72-2bb7c3828e01,3,Disease X + WHO withdrawal,1,1,amplification/notes/case-c-diseasex.md,"Case C research note: ""Disease X"" discourse and the US withdrawal from WHO"
1790329714313,51fc805d-9281-411b-af39-b6f876f81b1d,2,Research perception mgmt and info ops,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/sources/info-ops-perception.md,"Structured findings on perception management and IO/MISO/PSYOP doctrine, with fit ratings and full source URLs"
1790329742319,51fc805d-9281-411b-af39-b6f876f81b1d,2,Research perception mgmt and info ops,1,1,/Users/leonvanbokhorst/repos/deep-research/amplification/sources/info-ops-perception.md,Updated findings file (adds the verified Oct 2017 Army unit-name reversion to PSYOP)
1790328617311,52f269b0-843f-4c9a-9902-198968ecd5f5,3,National CT unknown-cause guidance,1,6,amplification/research/sources/notes-national-ct-guidance.md|amplification/research/sources/faa-joint-statement-nj-drones.txt|amplification/research/sources/nl-koepelnotitie-egt-2024-NOTES.txt|amplification/research/sources/uk-sources-verified-fetchlog.txt|amplification/research/sources/de-bbk-warnung-und-risikokommunikation.txt|amplification/research/sources/us-dhs-ntas.txt,"Main deliverable: claim tables (Claim | Publisher | Date | URL | Grade | Confidence | Limits) for UK/NL/DE/US, verbatim quotes with translations, cross-national synthesis, and a full gaps/not-known section. || Full verbatim text + uncertainty-framing analysis of the DHS-FBI-FAA-DoD joint statement on New Jersey drone sightings, 17 Dec 2024. || Dutch NCTV Koepelnotitie (2024) — the single most on-target document found: original-language quotes + English translations of the explicit 'we do not know' guidance. || All 8 UK sources with verbatim passages, exact URLs, fetch status and negative findings. || BBK Warnstufen, MoWaS and Risikomanagement material with German originals + English translations. || NTAS system page and FAQ, verbatim, with structural analysis of why NTAS has no unknown-cause tier."
1790328410902,53ed1b24-a136-4bab-84d3-06ff837a055d,3,AI deepfakes synthetic evidence,1,1,amplification/findings/personas-5-deepfakes-synthetic-evidence.md,"Personas-5 findings: AI-generated synthetic evidence in influence operations — deepfake audio/video, AI fake images as evidence, fake documents, synthetic personas, and the liar's dividend, with graded sources, dates and a key-numbers table."
1790328502247,54430afb-5e40-47af-b371-e15deabcbf27,3,Deepfake detection accuracy studies,1,1,amplification/notes/_sub-detection-studies.md,"Human detection accuracy for synthetic media + liar's dividend: verified figures with N, DOIs, and evidence grades; includes counter-evidence and failed-search log."
1790328465263,56542a81-0524-4af5-acd1-92a7cbbf9c8b,1,Risk psychology and sociology,1,1,amplification/findings/02-risk-psychology.md,"Strand 02 brief: psychological/sociological evidence on whether social amplification of risk and ambiguity can be deliberately engineered. 9 sections, confidence ratings, verdict, SARF transfer limits, canonical + modern citations."
1790328742439,5ae391ef-e246-4ce4-a2a8-90ded6cc0940,3,US NJ drone wave verification,1,8,/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-strand.md|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-faa-joint-statement-2024-12-17.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-wh-background-call-2024-12-14.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-wh-press-briefing-2024-12-12.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-wh-kirby-gaggle-2024-12-16.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-wh-leavitt-briefing-2025-01-28.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-oversight-2025-04-29-dod-joint-written-testimony.txt|/Users/leonvanbokhorst/repos/deep-research/amplification/research/raw/us-factcheck-drones-2024-12-19.txt,"US strand findings: claims, evidence grades, exact URLs, gaps (259 lines) || Primary: DHS/FBI/FAA/DoD joint statement, 17 Dec 2024 (FAA-hosted full text) || Primary: White House background call with FBI/DHS/FAA/DoD officials, 14 Dec 2024 || Primary: White House press briefing, Kirby drone remarks, 12 Dec 2024 || Primary: White House gaggle, Kirby restates assessment, 16 Dec 2024 || Primary: White House briefing, Trump 'authorized by the FAA' statement, 28 Jan 2025 || Primary: DoD joint written testimony, House Oversight 'Securing the Skies', 29 Apr 2025 || Secondary/primary-mirror set: FactCheck.org + CSIS + DHS OIG memo"
1790325266542,5c68d179-2392-4852-896c-1a4933d59ebf,3,Belgium OCAM drones research,1,1,/Users/leonvanbokhorst/repos/deep-research/research/belgium.md,"Belgium threat-assessment section: OCAM/OCAD annual reporting, drone incidents, counter-drone policy, with source URLs"
1790328621345,5c72160c-7771-45e4-aa96-c81976ec5f83,3,Media gen and human baseline costs,1,1,amplification/research/media-human-costs.md,"Part A (image/video/audio/voice generation prices, 2026, with live-verification flags and arithmetic) + Part B (human baselines: BLS wage anchors, freelance/copywriter, PR retainer, call-centre, content-farm substitution evidence), with evidence grades and a full Failed Searches section. 5,592 words"
1790328758347,5e2d13b6-32ba-4fcc-9c15-452b9f884509,3,Germany drone incident verification,1,1,amplification/research/raw/de-strand.md,"Germany strand findings: BKA/Bundespolizei/Bundeswehr drone incidents and the reported-vs-confirmed sighting debate — 11 sections, graded claims with exact URLs, consolidated numbers table, and a gaps section."
1790324987440,5fb605f1-c023-4869-ba9a-7d3e11e1fcd7,3,EASA EUROCONTROL INTCEN research,1,1,/Users/leonvanbokhorst/repos/deep-research/research/topic_a_easa_eurocontrol_intcen.md,"Topic A findings: EASA drone/U-space/counter-UAS regulation, EUROCONTROL drone and C-UAS material, EU INTCEN public-vs-classified determination. 26 primary sources with exact URLs."
