id,class,phase,desc,time,clock,depth,session,label
indistinguishable_withdrawn,COR,P2,withdraw: 'indistinguishable in more than half',1790328435598,09:27:15,0,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,
six_conditions,NCD,P2,six conditions for second-order risk,1790328452187,09:27:32,0,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,
eeas_noname,NEG,P2,"EEAS names PL/RO/LT/EE, not DK/NO",1790328495740,09:28:15,3,f38af81e-dc28-419d-ba96-1e5e64b5619c,Influence-op drone amplification
botometer_76,NFC,P2,~76% of accounts labelled bots are human,1790328498970,09:28:18,3,da686808-a9a8-4593-82da-6d9877f9814b,Topic 2 cross-platform coordination
openai_150k,NFC,P2,"OpenAI: 150,000 views vs 57 for one prompt",1790328629878,09:30:29,3,1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,LLM-driven IO research 2024-26
detect_555,NFC,P2,55.5% pooled synthetic-media detection,1790328671884,09:31:11,3,fc1be9de-04ba-4111-abe0-c4c21b4b864c,Detection and belief studies
openai_quote,NEG,P3,OpenAI: no meaningful engagement increase,1790328844983,09:34:04,2,f73d55cf-1c48-412b-9e84-8cd33f0e1045,AI lab and platform threat reports
two_withdrawn,COR,P3,two early figures withdrawn or bounded,1790329046549,09:37:26,0,session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,
gallwitz,NPS,P3,Gallwitz & Kreil 2022 (arXiv 2207.11474),1790329088087,09:38:08,3,d07fdde4-91a3-4617-9341-d7100c77ab33,CIB and bot-detection critiques
usc_sim,NEG,P3,USC 2510.25003: agent coordination simulation-only,1790329344918,09:42:24,3,1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,LLM-driven IO research 2024-26
cib_starbird,NPS,P3,"Starbird, Arif & Wilson 2019 CIB critique (source)",1790329554000,09:45:54,3,d07fdde4-91a3-4617-9341-d7100c77ab33,CIB and bot-detection critiques
