session,depth,label,sentN,sentChars,sentReports,sentUrls,recvN,recvChars,recvReports
fe9e2e13-60d9-4f06-b9a7-06ae33839116,3,Platform access and integrity economics,3,9207,1,1,2,3644,1
f46b62e3-769c-456c-86bf-bdc081345c27,3,Part A prebunking research,3,9163,1,12,2,5454,1
279d0ac8-42e7-4ca8-8ac6-58f028f6451c,3,Colombia pipeline and policy evidence,3,9075,2,2,1,2602,1
e6d543ab-0b19-4bf2-b18f-38035131a688,3,A3 strategic silence scholarship,2,8897,2,17,0,0,0
b1c47186-e044-4c6c-9148-2f6913193f95,2,Public health scares strand,2,8882,2,0,8,27582,3
43ef5bbb-5c03-40a7-9dd3-5ee7fcdb2981,3,Audience effects of synthetic corroboration,2,8838,2,0,2,1813,2
e88833f3-45c6-4e44-bab5-b0ee7c154093,3,Spamouflage and Operation Overload,2,8697,2,4,1,2355,0
488c117a-eb10-4b07-a2c5-aa16a6a495af,2,Research reflexive control lineage,2,8551,2,17,0,0,0
53ed1b24-a136-4bab-84d3-06ff837a055d,3,AI deepfakes synthetic evidence,2,8540,2,0,0,0,0
eeb7ab60-2a68-4c2c-ac20-2ecd68401faa,3,Portal Kombat and Matryoshka,2,8429,1,5,0,0,0
9ab7a0c1-d19a-45d5-b511-696d1d884a19,1,Ukraine Russia autonomy evidence,2,8416,2,10,1,891,0
74e3962c-673c-4068-90c4-60d02d23773c,3,Part C indicators and warnings research,2,8304,1,12,1,2246,0
5e2d13b6-32ba-4fcc-9c15-452b9f884509,3,Germany drone incident verification,2,8302,1,14,1,739,0
54430afb-5e40-47af-b371-e15deabcbf27,3,Deepfake detection accuracy studies,2,8252,2,0,1,801,1
4cb878d7-f1f8-43fe-a5f6-e457721c9553,3,Counter-UAS triage criteria guidance,2,8196,1,5,1,725,0
cad4acd7-2d5d-468e-9c3a-c82006a265ff,3,UK drone incident counting,2,8016,2,9,1,692,0
51cd8c6f-79cc-4c21-9a72-2bb7c3828e01,3,Disease X + WHO withdrawal,2,7988,1,14,0,0,0
4d64b50a-7a7d-4341-ad42-7423dfdb7063,3,Persuasion effects literature,2,7977,1,0,2,4779,2
f638b8fd-d6d5-4a0c-90a4-f56c8d2a833a,3,Information laundering research,2,7971,2,16,0,0,0
dabeb4b9-b19b-4707-bb52-c02368aacf3c,3,AI platform threat reports,2,7897,1,0,0,0,0
db47cece-2df5-48fe-85ed-0ec663494f6a,3,Iran-Israel drone strike scale,2,7786,1,17,0,0,0
e7ffd16b-4bd4-497b-8ecb-6dbf531dcd45,3,Ecuador drone misuse evidence,2,7569,0,0,1,2152,1
f77cc8b8-0dbc-4a09-bc93-2b32146d1abb,3,Part B reflexivity trap research,2,7553,2,12,2,6882,0
f5df77f0-07e0-4f4c-b651-3c39c0ad7fc5,3,Fake experts think tanks networks,2,7488,2,0,0,0,0
1bf60fa7-70cb-49e0-87a2-17d8a39320a6,3,Pink slime and economics,2,7375,2,0,0,0,0
b0f0ef6b-188b-48bb-a9b0-a808aa6a8393,1,Counterexamples and resilience limits,2,7326,2,0,0,0,0
d0d01526-dedf-4523-9301-738d6b6201fb,3,Fake personas long-running cases,2,7170,1,0,0,0,0
session-92c9e38d-5c41-403b-8bd0-52dc0ac5c357,0,,10,7164,2,0,49,233673,45
e8b3050c-765a-4f10-9bae-9fcc012336ae,2,Detection and takedown evidence,2,7156,1,1,3,2966,0
cf585c39-06cc-4e86-814e-fd4bb5dfcee8,3,5G health scare research,2,7077,1,15,0,0,0
2da418c8-78b5-4a1e-bf1c-bde3fd2d89c0,1,GNSS-denied nav and edge AI access,2,7039,2,0,1,689,0
e1f701aa-bb3e-40c8-82b5-4bbd71f77ab5,3,Security terrorism prior art,2,6998,1,0,0,0,0
1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,3,LLM-driven IO research 2024-26,2,6935,1,11,0,0,0
5c72160c-7771-45e4-aa96-c81976ec5f83,3,Media gen and human baseline costs,2,6897,2,0,1,1838,0
80582e1e-cc24-4c49-bd41-86060a72245a,3,Topic 4 newsjacking research,2,6742,1,0,1,3387,0
7cf0e1f7-e315-47b5-8bd3-c0fe5f3bc631,3,COVID origin lab-leak persistence,2,6672,0,9,0,0,0
a44a0b87-ba76-4be9-949f-240869398872,3,CERN and scientific uncertainty comms,2,6638,1,14,0,0,0
1788fcf5-a3e3-46db-9345-cdeacf0a4fa5,2,Product and food scare strand,2,6616,2,0,0,0,0
5c68d179-2392-4852-896c-1a4933d59ebf,3,Belgium OCAM drones research,1,6522,1,11,1,1953,0
f5e96aa3-70c9-4e26-9382-93d9e43e4ad1,3,International political deepfakes,2,6518,1,0,0,0,0
ea5b5eba-bb5c-4abc-a533-fa3166962e11,3,Infrastructure scare research stream,2,6299,1,7,0,0,0
8af84e58-43fa-4764-a1b4-7912b5822dcf,3,Research stream C AI persuasion,2,6294,1,0,0,0,0
56542a81-0524-4af5-acd1-92a7cbbf9c8b,1,Risk psychology and sociology,2,6276,2,0,0,0,0
ca75c80e-2ca5-4d1c-afd7-9ad9309b35cf,2,Hybrid state activity NATO,2,6240,1,0,5,39141,2
6d105fdb-03f9-44c6-93a2-3d50ac916f2a,3,Military strategic prior art,2,6221,1,0,0,0,0
3b284c34-2f3a-489e-bd11-6c9add7fde1c,3,Anthrax letters research stream,2,6145,2,0,0,0,0
03610d94-497f-4c66-86a1-26dedb722877,3,Compute cost curve research,2,5974,1,0,1,999,1
7c73d0c4-2fbe-48b3-b02e-f5d48bf540df,3,mpox clade Ib research notes,2,5845,1,12,0,0,0
1b475704-43dc-4507-a2f9-d7efa55e7b9c,3,Research Langley AFB drone incursions,1,5746,0,1,0,0,0
8bc9d075-fab0-400a-9e01-b232d368ee02,3,Radiological chemical scares research,2,5736,0,0,0,0,0
061dc849-dc73-4073-a541-119ab5377aa9,3,Research amplification and attribution,1,5724,0,3,0,0,0
e5f8178b-4e43-4785-a609-d874a0b4c8ff,3,Research stream D sceptical takes,2,5660,1,2,0,0,0
0c0085ae-9b77-4f1a-a065-50ca523039a1,2,Mexico LatAm cartel drones,2,5655,1,0,0,0,0
e49930ac-674f-41f7-8ead-2c84161d693d,1,Counter-UAS defender economics,2,5621,2,0,1,682,0
a03701b7-142d-488a-a322-e5feeafd11d9,2,Autonomy and countervailing evidence,2,5603,1,0,0,0,0
d07fdde4-91a3-4617-9341-d7100c77ab33,3,CIB and bot-detection critiques,2,5482,1,5,1,482,1
a87a9e47-2c5c-469b-920f-e10080392655,3,German airport drone closures,2,5390,1,0,0,0,0
da3f0b85-eed0-4f76-9e18-fe1bac271b94,3,AI and physical incident panics,2,5366,2,0,1,461,1
0bad5fb6-bd2c-4a53-9a01-4b5f2a60311f,3,Sweden Säpo drones research,1,5344,1,8,1,1604,0
69945366-9aea-4a07-a7fb-3ae889133eb7,3,Critical infrastructure drone incursions,2,5343,2,1,0,0,0
4c7b0eb7-ce4e-4ce2-9f59-753903f97546,3,AI agent prior art mining,2,5291,1,0,0,0,0
788b4f96-a913-4fb4-93d7-d44af41dd69e,3,Minimal-effects IO literature,2,5269,1,11,1,436,1
7d77b175-ad9d-4569-ac05-e9e66bdc78b3,2,Drone contraband prison smuggling,2,5267,2,0,0,0,0
4f250851-e006-4514-a721-35202c9cd223,2,NL BE organised crime drones,2,5229,2,0,0,0,0
cbd79d49-d00e-47b2-8613-1814b77230c7,2,Drone assassination attempts,2,5216,1,1,0,0,0
cbade403-6f00-4ad7-814c-2792a2001fa2,2,Terrorist drone and AI misuse,2,5184,2,0,0,0,0
ac2e73e0-e9f1-433d-94ae-6e2ff77072d7,2,Airport drone disruption,2,4963,2,0,6,24249,4
cceedd38-6543-457a-a7f8-753d6bda1067,3,Economics complexity prior art,2,4642,2,2,0,0,0
0d16099c-35f0-4538-a480-5c5c15cf5b87,3,Research stream F IRA official,2,4529,1,0,0,0,0
17a084cf-9432-43a8-b80b-8919b47feba3,3,Research stream B effects,2,4391,1,1,0,0,0
af14560f-2086-4ece-843f-bcf1c8c6454e,3,Research stream E AI reach,2,4358,1,0,0,0,0
5be694c4-da25-46a7-8195-38c359b42860,3,2025 Hegseth MISO language shift,1,4080,0,2,0,0,0
da686808-a9a8-4593-82da-6d9877f9814b,3,Topic 2 cross-platform coordination,1,3862,0,0,1,1801,0
f55f1385-9dbe-48d0-bdb9-b173663b724d,3,Denmark PET drones research,1,3709,0,0,1,2109,0
0995197a-2bd6-40b0-9e9f-95c97303a4b0,3,France drone incidents and law,1,3268,0,0,1,1545,1
5fe471da-406c-4b74-ac78-9e1d2d25a90f,3,Topic 3 multilingual messaging research,1,3014,0,6,2,7401,0
37c2487b-2257-4105-aba3-b5761765d4c4,3,Research US base drone incursions 2024-2026,1,2508,0,2,0,0,0
6f3e236e-1a8d-43fa-a135-c0eb0229a696,3,Norway PST drones research,1,2336,0,0,1,1636,0
00e8d90f-0854-4fba-84ad-ab19fe7fb462,2,Research loitering munitions market,2,2144,1,15,1,1179,1
cf5cf6dc-ad72-4113-af71-f5d02bdcbaa9,3,Non-state loitering munition acquisition,1,2040,0,0,0,0,0
16a40545-5872-4714-bcb8-3b7c88271b52,3,Dual-use supply chain and low-cost end,1,1397,0,1,0,0,0
d621470b-d5c3-4d66-8068-39bb2bf6b1b1,3,Europe Iranian drone plots,1,1365,0,6,1,510,0
3772f16b-2bc9-4aa4-ac37-ccd5595b0118,3,Attributed operation counts 2023-2026,1,1179,0,0,0,0,0
a067dd8e-2222-440c-8e7c-641668d7d696,3,X transparency and DSA data,1,1058,0,3,0,0,0
4db3eaea-9340-4bc4-afcd-2eb00a500626,3,Academic CIB detection methods,1,729,0,0,0,0,0
010532ac-1274-460b-a461-1b7566bc3f87,3,Verify German drone episodes,1,357,1,0,1,783,1
83090c92-ff01-4abc-9b2e-a07744680239,3,Topic 1 persona + platform evidence,0,0,0,0,1,1169,1
