session,depth,label,totalTokens,artefactsWritten,artefactsInheritedByOthers,totalInheritedReads,topArtefact
8af84e58-43fa-4764-a1b4-7912b5822dcf,3,Research stream C AI persuasion,3730072,1,1,2,amplification/notes/stream-c-ai-persuasion.md
a03701b7-142d-488a-a322-e5feeafd11d9,2,Autonomy and countervailing evidence,3562715,1,1,2,research/09-autonomy-countervailing.md
c226e74e-90e4-4e33-b349-0decbf893847,2,Colombia Ecuador drones,8190746,1,1,2,research/02-colombia-ecuador.md
d66ce668-ccde-4227-ba1d-cc1b1a1ffabb,3,AI news sites pink slime,7085577,2,1,2,amplification/findings/personas-3-ai-news-pink-slime.md
e465e26f-14d4-4ebd-8832-5e216849629a,2,Synthetic corroboration detection research,7203242,6,1,2,amplification/research/04-synthetic.md
e49930ac-674f-41f7-8ead-2c84161d693d,1,Counter-UAS defender economics,4738632,3,2,2,sources/eu-socta-2025-summary.txt
e5f8178b-4e43-4785-a609-d874a0b4c8ff,3,Research stream D sceptical takes,5960465,1,1,2,amplification/notes/stream-d-sceptical.md
e88833f3-45c6-4e44-bab5-b0ee7c154093,3,Spamouflage and Operation Overload,9438380,1,1,2,amplification/sources/sub-cases-spamouflage-overload.md
eeb7ab60-2a68-4c2c-ac20-2ecd68401faa,3,Portal Kombat and Matryoshka,2710967,1,1,2,amplification/sources/sub-cases-portalkombat-matryoshka.md
fc1be9de-04ba-4111-abe0-c4c21b4b864c,3,Detection and belief studies,5711959,1,1,2,amplification/findings/personas-6-detection-and-belief-studies.md
0995197a-2bd6-40b0-9e9f-95c97303a4b0,3,France drone incidents and law,1601848,1,1,1,research/france2.md
0bad5fb6-bd2c-4a53-9a01-4b5f2a60311f,3,Sweden Säpo drones research,1890377,1,1,1,research/sweden.md
1e0ef8e5-13ab-407d-9611-97e58bc5370f,2,Research rumour risk amplification theory,6008772,1,1,1,amplification/sources/cascade-theory.md
1ece4a27-295e-45a1-b4e8-f4a61be5e7a2,3,LLM-driven IO research 2024-26,3020383,1,1,1,amplification/notes/llm-io.md
214d85c6-dbe8-43ae-bb06-96929af0216d,1,Criminal terrorist misuse evidence,19508947,2,1,1,criminal-misuse-brief.md
31ca772b-cb14-42f3-b07d-64354d9cda59,2,Personas and influence-for-hire,26046486,2,1,1,amplification/sources/sub-personas-DRAFT.md
42c75fd5-9805-461d-bb22-827fd626fba5,3,Topic 2 adaptive narrative research,2549987,1,1,1,amplification/notes/raw-topic2.md
4f250851-e006-4514-a721-35202c9cd223,2,NL BE organised crime drones,4058865,1,1,1,research/07-nl-be-organised-crime.md
51cd8c6f-79cc-4c21-9a72-2bb7c3828e01,3,Disease X + WHO withdrawal,7074517,1,1,1,amplification/notes/case-c-diseasex.md
53ed1b24-a136-4bab-84d3-06ff837a055d,3,AI deepfakes synthetic evidence,5985250,1,1,1,amplification/findings/personas-5-deepfakes-synthetic-evidence.md
5ae391ef-e246-4ce4-a2a8-90ded6cc0940,3,US NJ drone wave verification,6137692,1,1,1,amplification/research/raw/us-strand.md
5fb605f1-c023-4869-ba9a-7d3e11e1fcd7,3,EASA EUROCONTROL INTCEN research,2418489,1,1,1,research/topic_a_easa_eurocontrol_intcen.md
5fe471da-406c-4b74-ac78-9e1d2d25a90f,3,Topic 3 multilingual messaging research,2719010,1,1,1,sources/eeas-4th-fimi-2026.txt
6f3e236e-1a8d-43fa-a135-c0eb0229a696,3,Norway PST drones research,4977643,1,1,1,research/norway.md
7d77b175-ad9d-4569-ac05-e9e66bdc78b3,2,Drone contraband prison smuggling,6513002,2,1,1,research/03-contraband-prisons.md
8a55607d-c2f7-40a7-8d99-f0d1e5c44581,2,European retractions and influence ops,17588269,1,1,1,amplification/findings/drone-cases-amplification-retractions.md
8e5bc453-00b8-4d6d-8809-d06846ad9c63,3,German drone threat primary sources,3711264,1,1,1,research/germany_findings.md
99dae34e-50a3-42d8-b818-f7eda5a3f4f6,1,Middle East conflict autonomy evidence,16051070,2,1,1,ai-targeting-loitering-munitions-brief.md
a4a04330-c73f-4cd8-a92e-9837ccb861ba,2,Search for self-amplifying attack concept,13799082,1,1,1,amplification/sources/self-amplifying-prior-art.md
aecad63f-f9ac-4428-ba51-fa4643681903,3,NATO DIANA NIF NSPA procurement,6258102,1,1,1,research/topic_b_diana_nspa.md
c0fd3b9e-4ce0-4a6e-837d-b7459d0efeb1,3,FRONTEX Eurojust Europol research,2418439,1,1,1,research/topic_a_frontex_eurojust.md
cbd79d49-d00e-47b2-8613-1814b77230c7,2,Drone assassination attempts,14336001,1,1,1,research/04-assassination.md
cf585c39-06cc-4e86-814e-fd4bb5dfcee8,3,5G health scare research,6735327,1,1,1,amplification/notes/case-e-5g.md
dc0b75f5-7e62-49c9-a810-8793a1c7648f,1,Defensive practice and non-amplification,9503948,6,1,1,sources/nl-nctv-drones.txt
dfc6a190-85d7-4f6a-a2d3-52df9a1a18eb,2,Research Iran Shahed proliferation,9229685,1,1,1,iran-drone-findings.md
e1f701aa-bb3e-40c8-82b5-4bbd71f77ab5,3,Security terrorism prior art,4868711,3,1,1,amplification/findings/security-terrorism.md
ea5b5eba-bb5c-4abc-a533-fa3166962e11,3,Infrastructure scare research stream,7219459,1,1,1,amplification/sources/eeas-4th-fimi-2026.txt
eb8d439f-0c62-46e9-b56b-166d47739816,3,Mental models risk communication,3397183,1,1,1,amplification/research/sources/notes-mental-models.md
f51e95e9-cb4e-4789-88f1-e8f8db604767,3,Drone exports and smuggling,7339004,4,1,1,research/exports-embargo.md
f5d926fb-1c4e-4c16-af8f-c7dce00748fd,1,Drone sighting ambiguity cases,18316648,1,1,1,amplification/findings/05-drone-cases.md
f5df77f0-07e0-4f4c-b651-3c39c0ad7fc5,3,Fake experts think tanks networks,5323454,1,1,1,amplification/findings/personas-2-fake-experts-networks.md
fd99d7af-8074-4047-8e7d-4e2aa26856b5,3,Influence-for-hire troll farms,9823109,2,1,1,amplification/findings/personas-4-influence-for-hire.md
00b48589-437f-4e6d-9dea-4db4e0da97f3,3,Undersea infrastructure incidents,1267380,0,0,0,
00e8d90f-0854-4fba-84ad-ab19fe7fb462,2,Research loitering munitions market,59560,0,0,0,
010532ac-1274-460b-a461-1b7566bc3f87,3,Verify German drone episodes,5865712,0,0,0,
03610d94-497f-4c66-86a1-26dedb722877,3,Compute cost curve research,4813414,5,0,0,amplification/research/compute-costs.md
061dc849-dc73-4073-a541-119ab5377aa9,3,Research amplification and attribution,770682,0,0,0,
0c0085ae-9b77-4f1a-a065-50ca523039a1,2,Mexico LatAm cartel drones,5639610,2,0,0,ddg.html
0c1ed671-3cc2-4e4b-9068-6dd263c5f1b6,3,RAND IO and counter-propaganda,711513,0,0,0,
0d16099c-35f0-4538-a480-5c5c15cf5b87,3,Research stream F IRA official,5020174,0,0,0,
160bfb86-67c6-40e3-921b-b3686e80f6df,3,Moral panic research,1215890,0,0,0,
16a40545-5872-4714-bcb8-3b7c88271b52,3,Dual-use supply chain and low-cost end,907699,0,0,0,
17a084cf-9432-43a8-b80b-8919b47feba3,3,Research stream B effects,3362412,1,0,0,amplification/notes/stream-b-effects.md
1b475704-43dc-4507-a2f9-d7efa55e7b9c,3,Research Langley AFB drone incursions,3102200,0,0,0,
1bf60fa7-70cb-49e0-87a2-17d8a39320a6,3,Pink slime and economics,7874844,1,0,0,amplification/notes/_sub-pinkslime-economics.md
1deec50d-0878-4863-bb81-61106e0e28a5,3,Part B reporting protocols research,5186561,14,0,0,amplification/research/b7-us-chicago-sar-2022.txt
203408d4-bf52-4104-973b-d706b0c5b4e9,2,US base and UK drone incidents,13543333,0,0,0,
219f73d7-254d-4d3d-962b-879d88a0bc7c,2,Loitering munitions market costs,4824943,1,0,0,loitering_munitions_open_market_brief.md
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,Swarm coordination evidence audit,5056130,1,0,0,swarm-audit-brief.md
279d0ac8-42e7-4ca8-8ac6-58f028f6451c,3,Colombia pipeline and policy evidence,3197383,1,0,0,research/notes-colombia-policy.md
3772f16b-2bc9-4aa4-ac37-ccd5595b0118,3,Attributed operation counts 2023-2026,4978457,0,0,0,
3795a316-6973-4223-bd76-0c6937d676ee,2,Research Hamas/Hezbollah armed drones,1595842,0,0,0,
37c2487b-2257-4105-aba3-b5761765d4c4,3,Research US base drone incursions 2024-2026,2863866,0,0,0,
3b284c34-2f3a-489e-bd11-6c9add7fde1c,3,Anthrax letters research stream,8255288,0,0,0,
414abba5-9455-4df0-b917-95ea002ee90b,2,Research active measures hybrid warfare,9252626,1,0,0,amplification/sources/active-measures-hybrid.md
43ef5bbb-5c03-40a7-9dd3-5ee7fcdb2981,3,Audience effects of synthetic corroboration,3983616,1,0,0,amplification/raw/muchnik.html
488c117a-eb10-4b07-a2c5-aa16a6a495af,2,Research reflexive control lineage,5533144,1,0,0,amplification/sources/reflexive-control.md
4c7b0eb7-ce4e-4ce2-9f59-753903f97546,3,AI agent prior art mining,10135537,1,0,0,amplification/findings/ai-agent.md
4cb878d7-f1f8-43fe-a5f6-e457721c9553,3,Counter-UAS triage criteria guidance,5929253,2,0,0,amplification/research/raw/triage-odni-icd-203-analytic-standards-ocr.
4d64b50a-7a7d-4341-ad42-7423dfdb7063,3,Persuasion effects literature,2563439,1,0,0,amplification/research/persuasion-evidence.md
4db3eaea-9340-4bc4-afcd-2eb00a500626,3,Academic CIB detection methods,2129039,0,0,0,
51f796a3-f550-4344-be44-eba389ff8b73,3,Research UK MoD drone incidents,2217352,0,0,0,
51fc805d-9281-411b-af39-b6f876f81b1d,2,Research perception mgmt and info ops,7579420,1,0,0,amplification/sources/info-ops-perception.md
52f269b0-843f-4c9a-9902-198968ecd5f5,3,National CT unknown-cause guidance,6232534,11,0,0,amplification/research/sources/faa-joint-statement-nj-drones.txt
54430afb-5e40-47af-b371-e15deabcbf27,3,Deepfake detection accuracy studies,3313928,1,0,0,amplification/notes/_sub-detection-studies.md
5be694c4-da25-46a7-8195-38c359b42860,3,2025 Hegseth MISO language shift,1002865,0,0,0,
5c72160c-7771-45e4-aa96-c81976ec5f83,3,Media gen and human baseline costs,6073416,1,0,0,amplification/research/media-human-costs.md
5e2d13b6-32ba-4fcc-9c15-452b9f884509,3,Germany drone incident verification,7310755,1,0,0,amplification/research/raw/de-strand.md
66e40dd4-27e6-4a85-83e8-edb605b0b1d9,2,Crisis risk communication research,8526004,3,0,0,amplification/research/sources/cerc-psych.txt
6d105fdb-03f9-44c6-93a2-3d50ac916f2a,3,Military strategic prior art,5897223,1,0,0,amplification/findings/military-strategic.md
788b4f96-a913-4fb4-93d7-d44af41dd69e,3,Minimal-effects IO literature,2604995,1,0,0,amplification/notes/minimal-effects.md
7cf0e1f7-e315-47b5-8bd3-c0fe5f3bc631,3,COVID origin lab-leak persistence,8428736,0,0,0,
83090c92-ff01-4abc-9b2e-a07744680239,3,Topic 1 persona + platform evidence,1695319,0,0,0,
8751d743-58c1-4ab8-b071-69ef3942b863,3,Drone recon over bases,2932743,0,0,0,
91004cb5-9eb3-4dce-a088-e6396350299a,2,Research non-state drone proliferation,9870805,41,0,0,findings/REPORT-nonstate-drone-autonomy.md
98b0ee43-1076-4c8e-8f8a-9512a5c4cdac,2,UK Germany drone threat assessments,5266557,0,0,0,
9ab7a0c1-d19a-45d5-b511-696d1d884a19,1,Ukraine Russia autonomy evidence,5985954,1,0,0,russia-ukraine-drone-autonomy-brief.md
a067dd8e-2222-440c-8e7c-641668d7d696,3,X transparency and DSA data,4925792,0,0,0,
a1c59a96-24c6-4c8a-8958-0ca6b7c17078,2,Research Houthi drones and USVs,1570511,0,0,0,
a44a0b87-ba76-4be9-949f-240869398872,3,CERN and scientific uncertainty comms,2846446,1,0,0,amplification/research/sources/notes-cern-science.md
a7eef189-3bc7-404b-9379-01dd00107abc,2,Non-amplification and reporting protocols,8754870,1,0,0,amplification/research/05-nonamplification.md
aa3fc864-9f3a-48a6-886d-b7860bff5228,3,Trace German drone amplification,5822831,1,0,0,findings/drone-amplification-2026-09-25.md
ac188085-eef8-4b4d-82d2-e1555f17ba4a,2,Incident verification and triage research,20736878,6,0,0,amplification/research/03-verification.md
af14560f-2086-4ece-843f-bcf1c8c6454e,3,Research stream E AI reach,11036297,0,0,0,
bc7323c8-aee3-4194-a341-b6c18b1b0475,2,Monitoring and localisation research,11332454,1,0,0,amplification/notes/monitoring-localisation.md
bd42af51-5254-4fed-9c58-31009c05088d,3,SARF critiques + adversarial amplification,1771658,0,0,0,
cad4acd7-2d5d-468e-9c3a-c82006a265ff,3,UK drone incident counting,6046843,6,0,0,amplification/research/raw/uk-apb-april-2026.txt
cbade403-6f00-4ad7-814c-2792a2001fa2,2,Terrorist drone and AI misuse,4975763,1,0,0,research/05-terrorism-ai.md
cc07f9d4-0390-4bb3-90b1-866e31d30b66,2,Persona and coordination research,12513741,1,0,0,amplification/notes/persona-coordination.md
cc1fd076-ce12-4f21-9a03-de36e199d4ef,2,EU bodies and NATO drone evidence,7677571,0,0,0,
cceedd38-6543-457a-a7f8-753d6bda1067,3,Economics complexity prior art,10552285,1,0,0,amplification/findings/economics-complexity.md
cf5cf6dc-ad72-4113-af71-f5d02bdcbaa9,3,Non-state loitering munition acquisition,997928,0,0,0,
d07fdde4-91a3-4617-9341-d7100c77ab33,3,CIB and bot-detection critiques,4029343,3,0,0,amplification/notes/cib-critiques.md
d0d01526-dedf-4523-9301-738d6b6201fb,3,Fake personas long-running cases,4541288,1,0,0,amplification/findings/personas-1-fake-identities.md
d621470b-d5c3-4d66-8068-39bb2bf6b1b1,3,Europe Iranian drone plots,1202199,0,0,0,
da3f0b85-eed0-4f76-9e18-fe1bac271b94,3,AI and physical incident panics,3053551,14,0,0,amplification/sources/nj-faa-joint-statement.txt
da686808-a9a8-4593-82da-6d9877f9814b,3,Topic 2 cross-platform coordination,1219933,0,0,0,
db47cece-2df5-48fe-85ed-0ec663494f6a,3,Iran-Israel drone strike scale,3896430,1,0,0,research/iran-israel-proxy.md
defd571a-2f0d-47a2-8239-28e4b4bccd9e,2,Storm-1516 and Russian networks,4760208,1,0,0,amplification/sources/sub-cases.md
e289f909-7350-45de-8d96-c53ca34ad0e9,3,"Spain, EU airports, drone wall",3386504,2,0,0,research/queries.txt
e6d543ab-0b19-4bf2-b18f-38035131a688,3,A3 strategic silence scholarship,6277753,9,0,0,amplification/research/a3-carnegie-guide.txt
e7ffd16b-4bd4-497b-8ecb-6dbf531dcd45,3,Ecuador drone misuse evidence,3453312,1,0,0,research/notes-ecuador.md
ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,2,Attribution discipline research,14902609,20,0,0,amplification/research/00-raw/aivd-ar2025-en.txt
edb0f8d3-0c07-4a47-9834-d2bb6ae9a3ac,2,Research computational propaganda CIB,9393513,1,0,0,amplification/sources/platform-propaganda.md
f075487c-22fd-44f1-b4d8-b5fe1df11602,2,German drone incidents amplification,28396699,2,0,0,findings/drone-episodes-2026-09-25.md
f38af81e-dc28-419d-ba96-1e5e64b5619c,3,Influence-op drone amplification,6282380,4,0,0,amplification/sources/edmo-romania.txt
f46b62e3-769c-456c-86bf-bdc081345c27,3,Part A prebunking research,4155133,1,0,0,amplification/research/parts/part-A-prebunking.md
f5e96aa3-70c9-4e26-9382-93d9e43e4ad1,3,International political deepfakes,6074014,1,0,0,amplification/notes/_sub-intl-deepfakes.md
f638b8fd-d6d5-4a0c-90a4-f56c8d2a833a,3,Information laundering research,1180891,0,0,0,
f73d55cf-1c48-412b-9e84-8cd33f0e1045,2,AI lab and platform threat reports,9058905,2,0,0,notes/_sub-network-threat-reports.md
f77cc8b8-0dbc-4a09-bc93-2b32146d1abb,3,Part B reflexivity trap research,11916038,4,0,0,amplification/research/parts/part-B-reflexivity.md
fe9e2e13-60d9-4f06-b9a7-06ae33839116,3,Platform access and integrity economics,1649643,1,0,0,amplification/research/access-integrity-economics.md
